,equipo1_p50,equipo2_p50
2023-09-01,,
2023-10-01,,
2023-11-01,,
2023-12-01,,
2024-01-01,,
2024-02-01,,
2024-03-01,,
2024-04-01,,
2024-05-01,451.1728976744186,933.9910329100679
2024-06-01,451.467934883721,934.369859133495
2024-07-01,451.76297209302334,934.7486853569219
2024-08-01,452.0580093023256,935.127511580349
2024-09-01,452.35304651162795,935.5063378037761
2024-10-01,452.64808372093034,935.8851640272031
2024-11-01,452.94312093023257,936.2639902506301
2024-12-01,453.23815813953496,936.6428164740571
2025-01-01,453.53319534883724,937.021642697484
2025-02-01,453.8282325581396,937.4004689209112
2025-03-01,454.1232697674419,937.7792951443382
2025-04-01,454.41830697674413,938.1581213677653
2025-05-01,454.7133441860465,938.5369475911922
2025-06-01,455.00838139534886,938.9157738146193
2025-07-01,455.30341860465114,939.2946000380462
2025-08-01,455.5984558139535,939.6734262614734
2025-09-01,455.89349302325587,940.0522524849004
2025-10-01,456.1885302325581,940.4310787083274
2025-11-01,456.4835674418605,940.8099049317543
2025-12-01,456.7786046511628,941.1887311551814
2026-01-01,457.0736418604651,941.5675573786084
2026-02-01,457.36867906976744,941.9463836020356
2026-03-01,457.66371627906983,942.3252098254625
2026-04-01,457.9587534883721,942.7040360488895
2026-05-01,458.25379069767445,943.0828622723166
2026-06-01,458.5488279069768,943.4616884957435
2026-07-01,458.84386511627906,943.8405147191705
2026-08-01,459.13890232558145,944.2193409425975
2026-09-01,,
2026-10-01,,
2026-11-01,,
2026-12-01,,
2027-01-01,,
2027-02-01,,
2027-03-01,,
2027-04-01,,
