,P10,P50,P90
2023-09-01,391.6074260429238,453.71582271922404,516.599645483719
2023-10-01,367.3671666120177,454.5000611248047,550.716841102554
2023-11-01,353.1779067211049,451.97629605372583,575.7611767415166
2023-12-01,340.852083123766,451.12162519243054,594.7475604338119
2024-01-01,328.5154010458492,451.90547766018494,612.6665375253332
2024-02-01,315.8693858574405,451.8803322824133,631.555680685619
2024-03-01,309.68029209408706,452.9045584792158,655.5161492619287
2024-04-01,300.7361050143838,449.93043362677463,663.5775896543779
2024-05-01,293.30329103791814,447.9150829748826,680.974871350903
2024-06-01,288.837915853938,447.59560464806657,702.469318682292
2024-07-01,279.74701298964004,445.66997082557646,712.937685178514
2024-08-01,273.86835057839045,447.14392506459933,729.0114470539025
2024-09-01,270.0273844588621,444.2986354514021,741.6754419652541
2024-10-01,265.8342687193382,444.8400220292815,749.9613307493306
2024-11-01,258.1296973029633,443.08166577349203,770.0762678222274
2024-12-01,253.40891421364492,445.0721116822456,789.1859143196101
2025-01-01,247.4180491481816,445.61426892177803,794.8734661636779
2025-02-01,244.96270563658473,444.62048508757607,805.0034072212857
2025-03-01,241.07220934639804,442.95424053089573,814.0913647141164
2025-04-01,236.52651124018365,442.88585842715315,831.3308241701953
2025-05-01,233.29371970756392,441.4152849246159,846.0799822319437
2025-06-01,230.00779148083694,442.6683216138757,867.9709301361611
2025-07-01,227.15410744800138,441.4190617734997,880.9506033955092
2025-08-01,222.07617687544735,444.12022132790594,881.5553695646231
2025-09-01,219.442633088766,440.8662178799728,886.0105101743478
2025-10-01,216.95069405070797,441.07042260009985,890.7780407416471
2025-11-01,213.2496183632307,439.3761302967746,899.2392334371996
2025-12-01,211.9570582907835,440.04139934130876,919.1666414120461
2026-01-01,207.1118588466084,443.4873541173923,949.3906242602534
2026-02-01,205.64088300867274,442.0407419242583,955.5171276246211
2026-03-01,203.01605727138826,442.1324993995587,965.300330424476
2026-04-01,200.59571770945053,444.4976880204538,982.7905666054245
2026-05-01,196.00893421542744,440.6825806890754,995.5979504113031
2026-06-01,196.1598352306657,442.116932131173,989.8725079561276
2026-07-01,192.4791578240523,443.2578698234683,1007.0484953039628
2026-08-01,190.39179163409733,442.2441462310397,1020.3704783518016
